"Exness","Symbol","Timestamp","Bid","Ask"
"exness","EURUSD","2026-09-25 02:57:41.568Z",1.13724,1.1373
"exness","EURUSD","2026-09-25 02:57:50.186Z",1.1372200000000001,1.13728
"exness","EURUSD","2026-09-25 02:57:59.300Z",1.1372,1.13726
"exness","EURUSD","2026-09-25 02:58:03.176Z",1.1372200000000001,1.13728
"exness","EURUSD","2026-09-25 02:58:04.348Z",1.13721,1.13727
"exness","EURUSD","2026-09-25 02:58:06.447Z",1.1372,1.13726
"exness","EURUSD","2026-09-25 02:58:12.182Z",1.13719,1.13725
"exness","EURUSD","2026-09-25 02:58:15.294Z",1.1372,1.13726
"exness","EURUSD","2026-09-25 02:58:23.331Z",1.13719,1.13725
"exness","EURUSD","2026-09-25 02:58:25.412Z",1.13718,1.13724
"exness","EURUSD","2026-09-25 02:58:28.451Z",1.13719,1.13725
"exness","EURUSD","2026-09-25 02:58:37.643Z",1.13718,1.13724
"exness","EURUSD","2026-09-25 02:58:49.947Z",1.13719,1.13725
"exness","EURUSD","2026-09-25 02:58:51.074Z",1.13718,1.13724
"exness","EURUSD","2026-09-25 02:58:53.014Z",1.13719,1.13725
"exness","EURUSD","2026-09-25 02:58:57.285Z",1.13718,1.13724
"exness","EURUSD","2026-09-25 02:58:59.912Z",1.13717,1.13723
"exness","EURUSD","2026-09-25 02:59:00.085Z",1.13714,1.1372
"exness","EURUSD","2026-09-25 02:59:01.174Z",1.13716,1.1372200000000001
"exness","EURUSD","2026-09-25 02:59:02.807Z",1.13718,1.13724
"exness","EURUSD","2026-09-25 02:59:08.664Z",1.13719,1.13725
"exness","EURUSD","2026-09-25 02:59:10.008Z",1.13718,1.13724
"exness","EURUSD","2026-09-25 02:59:28.644Z",1.13719,1.13725
"exness","EURUSD","2026-09-25 02:59:51.680Z",1.1372,1.13726
"exness","EURUSD","2026-09-25 03:00:00.722Z",1.13719,1.13725
"exness","EURUSD","2026-09-25 03:00:02.217Z",1.13717,1.13723
"exness","EURUSD","2026-09-25 03:00:05.009Z",1.13716,1.1372200000000001
"exness","EURUSD","2026-09-25 03:00:06.905Z",1.13718,1.13724
"exness","EURUSD","2026-09-25 03:00:18.352Z",1.13717,1.13723
"exness","EURUSD","2026-09-25 03:00:28.495Z",1.13715,1.13721
"exness","EURUSD","2026-09-25 03:00:28.503Z",1.13713,1.13719
"exness","EURUSD","2026-09-25 03:00:28.561Z",1.13712,1.13718
"exness","EURUSD","2026-09-25 03:00:28.575Z",1.13711,1.13717
"exness","EURUSD","2026-09-25 03:00:29.727Z",1.13712,1.13718
"exness","EURUSD","2026-09-25 03:00:31.046Z",1.13714,1.1372
"exness","EURUSD","2026-09-25 03:00:33.302Z",1.13713,1.13719
"exness","EURUSD","2026-09-25 03:00:41.514Z",1.13715,1.13721
"exness","EURUSD","2026-09-25 03:00:42.706Z",1.13714,1.1372
"exness","EURUSD","2026-09-25 03:00:51.223Z",1.13713,1.13719
"exness","EURUSD","2026-09-25 03:00:51.938Z",1.13711,1.13717
"exness","EURUSD","2026-09-25 03:00:51.965Z",1.1371,1.13716
"exness","EURUSD","2026-09-25 03:00:52.065Z",1.13709,1.13715
"exness","EURUSD","2026-09-25 03:00:53.278Z",1.13708,1.13714
"exness","EURUSD","2026-09-25 03:00:54.348Z",1.13709,1.13715
"exness","EURUSD","2026-09-25 03:01:00.134Z",1.13708,1.13714
"exness","EURUSD","2026-09-25 03:01:02.352Z",1.13709,1.13715
"exness","EURUSD","2026-09-25 03:01:03.594Z",1.1371,1.13716
"exness","EURUSD","2026-09-25 03:01:07.313Z",1.13708,1.13714
"exness","EURUSD","2026-09-25 03:01:10.367Z",1.13707,1.13713
"exness","EURUSD","2026-09-25 03:01:11.549Z",1.13708,1.13714
"exness","EURUSD","2026-09-25 03:01:12.126Z",1.13706,1.13712
"exness","EURUSD","2026-09-25 03:01:13.196Z",1.13705,1.13711
"exness","EURUSD","2026-09-25 03:01:16.037Z",1.13704,1.1371
"exness","EURUSD","2026-09-25 03:01:17.042Z",1.13702,1.13708
"exness","EURUSD","2026-09-25 03:01:18.082Z",1.13703,1.13709
"exness","EURUSD","2026-09-25 03:01:21.397Z",1.13704,1.1371
"exness","EURUSD","2026-09-25 03:01:24.915Z",1.13702,1.13708
"exness","EURUSD","2026-09-25 03:01:30.117Z",1.137,1.13706
"exness","EURUSD","2026-09-25 03:01:32.300Z",1.13703,1.13709
